Calls,Intern,Text,Data,Age
1.12,0.19,23.92,0.18,60
1.08,0.22,17.76,0.23,54
3.54,0.26,289.79,1.99,34
1.09,0.21,19.15,0.21,61
1.04,0.24,20.33,0.2,56
5.59,0.88,19.23,2.02,41
1.19,0.19,17.94,0.24,71
3.07,0.34,359.49,2.06,30
5.34,0.99,295.47,0.97,41
2.43,0.09,17.57,0.46,33
5.99,0.98,17.31,1.82,39
0.91,0.23,20.24,0.21,65
1.06,0.2,17.83,0.23,60
1.58,0.11,541.62,2.7,14
5.64,1.06,17.09,2.16,44
4.21,0.55,559.3,2.73,60
3.37,1.12,281.33,3.21,30
1.36,0.12,571.76,2.8,15
4.68,0.86,19.47,1.91,49
1.53,0.09,464.96,2.63,17
1.45,0.1,433.3,3.14,13
2.49,0.11,17.66,0.52,31
1.61,0.11,478.18,4.11,25
1.67,0.09,546.89,4.01,24
1.57,0.29,584.98,2.09,55
2.74,0.33,306.93,2.11,32
0.97,0.22,18.83,0.22,61
4.51,1.05,18.65,2.3,46
4.99,0.97,17.47,2.37,46
5.78,1,18.36,2.01,42
1.57,0.11,487.18,4.23,25
5.37,0.92,22.96,1.84,52
1.6,0.12,595.04,4.02,24
1.16,0.18,19.14,0.21,67
0.9,0.18,21.41,0.23,61
1.13,1.17,496.41,3.6,37
1.12,0.17,20.91,0.2,58
1.1,0.2,23.65,0.23,66
5.66,0.74,166.84,0.38,71
5.78,1.18,18.11,2.29,50
5.92,1.14,19.79,1.76,49
1.68,1.19,236.84,1.48,32
1.13,0.2,21.61,0.2,53
3.56,0.35,307.97,2.02,33
4.29,1.03,18.84,2.37,40
2.01,0.1,17.05,0.6,36
1.11,0.19,22.31,0.23,68
1.19,0.21,18.54,0.18,61
5.06,0.96,18.44,1.75,41
4.83,1.19,23.34,2.24,42
0.99,0.21,18.74,0.23,62
2.57,0.11,20.44,0.45,38
1.64,0.09,455.82,2.56,14
2.43,0.11,23.53,0.57,34
4.45,0.94,18.91,1.71,53
4.77,1.19,20.16,1.95,41
4.41,1.03,23.73,2.35,51
1.72,0.11,470.35,3.93,18
1.81,0.11,508.68,3.66,18
5.81,1.14,23.31,2.22,39
1.63,0.11,543.48,3.91,22
1.62,0.11,489.07,3.05,17
2.07,0.09,23.24,0.5,36
2.65,0.35,299.92,2.26,33
1.73,0.91,222.06,1.36,35
2.06,0.09,562.62,3.55,23
1.33,0.12,509.51,2.9,17
5.21,1.17,21.43,1.9,43
3.53,0.29,332.28,1.82,35
1.14,0.24,22.67,0.22,64
5.12,0.84,221.21,2.03,27
0.96,0.22,22.45,0.18,53
