fips	tvotes	clintonpct	sanderspct	undervt	ratio
37121	777	0.404118404	0.579150579	0.016731017	0.44150719
36031	2640	0.268181818	0.731818182	0	0.458213196
36089	6967	0.411224343	0.588775657	0	0.462630243
36093	13008	0.472478475	0.527521525	0	0.466809565
36075	5490	0.441530055	0.558469945	0	0.478184788
36113	4276	0.383302152	0.616697848	0	0.505193263
36123	1221	0.452088452	0.547911548	0	0.509106665
37011	788	0.413705584	0.539340102	0.046954315	0.511116049
36115	3254	0.358635526	0.641364474	0	0.513920757
12115	42338	0.611294818	0.372620341	0.016084841	0.518979187
36017	2452	0.390701468	0.609298532	0	0.542778096
36083	11387	0.416088522	0.583911478	0	0.554334561
36039	2520	0.421428571	0.578571429	0	0.555061522
36117	4178	0.444949737	0.555050263	0	0.560700014
36035	2266	0.388790821	0.611209179	0	0.564325707
36049	1097	0.409298086	0.590701914	0	0.565912188
36053	4226	0.444865121	0.555134879	0	0.567867005
36041	333	0.369369369	0.630630631	0	0.569591552
12111	26240	0.668978659	0.308346037	0.022675305	0.575918393
4025	15885	0.528863708	0.447466163	0.023670129	0.579146929
37189	8484	0.296322489	0.684936351	0.01874116	0.582309544
36023	3280	0.427439024	0.572560976	0	0.590409572
36021	5783	0.429016082	0.570983918	0	0.593528578
36019	5851	0.264911981	0.735088019	0	0.593619397
36045	4845	0.491021672	0.508978328	0	0.594182659
4013	218587	0.580949462	0.39774552	0.021305018	0.596117237
36069	1724	0.464037123	0.535962877	0	0.599310798
36043	3132	0.439655172	0.560344828	0	0.601121977
36111	18499	0.374452673	0.625547327	0	0.6028085
36011	5037	0.473099067	0.526900933	0	0.606176254
37117	3997	0.617713285	0.274455842	0.107830873	0.607469494
36073	1527	0.425671251	0.574328749	0	0.608983076
36051	4021	0.400646605	0.599353395	0	0.611711431
36101	4679	0.421030135	0.578969865	0	0.613129654
36033	3299	0.291300394	0.708699606	0	0.615293091
36025	2730	0.390842491	0.609157509	0	0.621632152
36067	38454	0.530425963	0.469574037	0	0.623753074
36077	4440	0.409234234	0.590765766	0	0.626162194
37089	10238	0.469915999	0.500976753	0.029107248	0.631160578
4021	15724	0.621406767	0.344314424	0.034278809	0.642684875
36107	3057	0.403009486	0.596990514	0	0.643071088
36015	5084	0.495672699	0.504327301	0	0.648227143
36103	91289	0.546900503	0.453099497	0	0.649714571
36027	22685	0.485122328	0.514877672	0	0.650803436
36037	2801	0.450553374	0.549446626	0	0.653447966
12087	8740	0.552631579	0.427803204	0.019565217	0.65548912
